Video Title,Video ID,Video Link,Published Date,Username,Comment
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@syahrilafandi3659,"Terlalu riskan utk mengganti pelatih saat ini, kecuali PSSI sdh tidak serius dalam kualifikasi piala dunia. Sehebat-hebatnya pelatih kelas dunia yg akan menjadi penggantinya itu butuh waktu utk mengenal permainan dan karakter pemain agar dapat meramu strategi yg tepat, Padahal kita butuh hasil yg positif secepatnya dalam laga sisa kualifikasi PD. Kalo mw ganti itu seharusnya dari satu atau dua tahun kemarin, atau setidaknya setelah selesai kualifikasi PD"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@NyomanBlono,Sayang sekali harus nya dipertahankan dulu mau lawan australia kok malah main pecat brekele
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ekauki4014,Semoga tidak menjadi blunder..
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@zednayastore,kangen STY padahal.....😢😢😢.... beliau sudah sangat cocok bangettt
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@junjunaedi3279,Ea mntap nih kita liat ajj pngganti nya siapa dan kerja nya apa apakah  akan lebih mntap apa kembali ke setelan awal jdi team sirkus
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@SyamsulBachri-o6l,Dimulainya era kegelapan kembali setelah sty out<br>Dimulainya mafia<br>Dimulainya program acara cari&quot; cuan<br>...keputusan yg dipandang dari sudut manapun blunder<br>Out tohir
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@8uw1rdi13d1i,"Ada gojala campur tangannya para oknum2 pengatur skor dlm ke pengurusan sepak bola Indonesia. Aura para penjudi dan mafia sepak bola sepertinya berhasil memberikan tekanan agar STY dicopot. . .    Apapun alasannya pencopotan ini kurang beradab ,dan tak bermoral. . .  Mencopot seorang disaat _saat  dia dipuncak keberhasilannya dan sebentar lagi akan menuntaskan kerjanya. ."
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ekauki4014,"Seandainya memang mau dganti sekalian yg berkelas.. PEP GUARDIOLA, MOURINHO Atau DON CARLO ANCELOTTI"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@rafasymaduzy6559,Apapun hasilnya. Kita hormati. Tapi tatap terima kasih coach STY atas dedikasinya buat timnas Indonesia.
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ekauki4014,Yg dganti harusnya para pejabat yg korup.. Cuma mafia dan bandar judi yg pengen sty dganti krn gagal di AFF yg notabene memang tidak jadi prioritas timnas..
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@Fadel00-d1b,"STY pelatih yang terbaik , terimakasih sudah membuat nama baik Timnas mendunia,Nama mu akan di kenang selalu 🙏🙏🙏"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@RiyantoRiyanto-xw6ri,"KALAH LAWAN  AUSTRALIA,, BAHKAN GAGAL LOLOS PILDUN,,, ERIK TOHIR TURUN BESERTA KRONINYA,,  DAN KUBUR HIDUP SI TOWEL"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ArifsonZai96,Ketua PSSI ini kadang waras
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@yayangnurainna1407,Kalau timnas TDK lolos pildun 2026 kita geruduk PSSI
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@farisalfani-j3l,PELATIH KEPALA INDONESIA SELANJUTNYA ADALAH = PATRICK KLUIVERT 🇳🇱<br>INGAT PATRICK KLUIVERT 😅
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@AliShodiqin-i2x,Keputusan yg tepat
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@hinohino1683,"Sy kira,, ini utk mempersiapkan melawan bahrain yg lg on fire...  , terima kasih STY.."
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@batruaja9741,Dari pada pecat shintayong mending pecat hakim yang ngasih hukuman ringan koruptor 300triliun...itu lebih melukai kami
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@boykeschannel8267,Pasti arjen roben yg ganti
